"","area_name","fips","state_abbreviation","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","educatedpeople","votes"
"138","Richland County",45079,"SC",401566,384507,4.4,384504,5.9,22,11.3,51.5,47.8,46.9,0.4,2.7,0.2,2.1,5.1,44.1,77.9,5.2,7.7,89.7,36.1,33288,21,166973,60.7,27.8,149800,143874,2.5,25763,48359,17.2,8660,155345,1.1,25311,27370,23.1,0.6,2.7,0,1.2,27.5,6109796,3150652,4367658,12127,733609,2275,757.07,507.9,36020470.2,90820
"139","Ringgold County",19159,"IA",5051,5131,-1.6,5131,5.8,23.3,25.3,50.8,98.1,0.4,0.3,0.4,0.1,0.8,2,96.4,91,0.7,10,88.5,17.6,401,18,2605,76.5,5.7,78500,2074,2.39,23324,44551,13.1,144,1022,3.9,470,553,0,0,0,0,0,12.1,0,26024,63578,12562,0,2,535.5,9.6,447013.5,530
"140","Rockingham County",33015,"NH",300621,295220,1.8,295223,4.6,20.6,15.2,50.5,95.5,0.9,0.2,1.9,0,1.4,2.6,93.3,89.6,4.5,6.5,94.5,37.2,23377,29.1,128444,76.8,21.7,282100,116262,2.53,38399,77348,5.5,9422,128330,0.8,25514,34778,0.5,0,1.5,0,0.9,27.8,3912579,5844817,6414862,21603,660746,875,694.72,425,28408684.5,126846
"141","Sac County",19161,"IA",10035,10350,-3,10350,5.4,22,22.3,50.9,98.2,0.3,0.2,0.4,0.1,0.9,2.8,95.7,89.3,1.2,2.8,91.4,19.1,943,17.7,5407,81.4,8.2,79700,4435,2.25,26350,48093,8.7,353,2624,-0.1,845,1187,0,0,0,0,0,21.5,0,164976,92468,8983,0,5,575.01,18,917199,969
"142","Saluda County",45081,"SC",20026,19872,0.8,19875,6.3,22,18.3,49.6,69.7,26.2,1.5,0.3,1,1.3,14.9,58,90.4,9.4,13.4,76.8,12.4,1446,29,9266,72.8,2.8,90400,7020,2.79,19725,38514,21.5,250,3396,-16.6,899,1186,13.2,0,0,0,0,21.6,0,0,73369,3870,4310,26,452.78,43.9,1537996.8,4646
"143","Scott County",19163,"IA",171387,165224,3.7,165224,6.6,24.1,14.4,51,86.7,7.5,0.4,2.5,0.1,2.8,6.3,81.3,86.3,3.4,5.6,92.3,31.6,12299,18,73040,69,24.8,143600,67049,2.44,28948,52735,13.1,4408,82196,2.6,10040,14132,0,0.3,0,0,1.3,27,5745095,0,2852978,17574,423931,365,458.09,360.7,15819020.1,17944
"144","Shelby County",19165,"IA",11948,12167,-1.8,12167,5.6,22.7,22.4,50.8,97.7,0.5,0.4,0.4,0.1,0.8,2.3,95.6,90.1,2,2.8,90.9,18.2,1041,18.5,5561,77.7,11,104700,5083,2.33,26387,48783,10.8,398,5209,-1.4,972,1388,0,0,0,0,0,19.5,0,158609,135125,10996,8692,16,590.78,20.6,1086073.2,1145
"145","Sioux County",19167,"IA",34681,33704,2.9,33704,7.4,26.9,14.5,49.8,96.6,1,0.5,1.1,0,0.7,9.8,87.9,85.9,6.3,9.5,88.6,23.4,1830,12.8,12582,80,10.2,131200,11623,2.72,24324,57227,8.2,1233,17949,-0.3,2577,3659,0,0,0,0,0,18.3,1152404,753139,394422,12319,31746,112,768.33,43.9,3072736.6,4993
"146","Spartanburg County",45083,"SC",293542,284305,3.2,284307,6.3,23.7,15.1,51.5,74.5,21,0.4,2.3,0.1,1.7,6.4,69,84.7,6.4,9.4,82.2,21.3,20802,21.9,124505,69.6,14,121300,107350,2.6,21889,42919,17.9,6141,118348,2.8,17533,21534,7.1,0.6,2,0,2.3,25.6,11731761,5481960,3638406,13148,411477,1090,807.93,351.9,24129152.4,61764
"147","Storey County",32029,"NV",3912,4010,-2.4,4010,2.2,12.5,27.8,48,91.8,1.6,2,2.1,0.4,1.9,7.8,84.6,89.7,3.9,5.5,93.9,21.5,630,26.6,1985,93.8,2.6,167700,1843,2.14,33472,61573,11,81,571,0,259,0,0,0,0,0,0,0,0,0,6765,1580,4780,6,262.92,15.3,367336.8,437
"148","Story County",19169,"IA",94073,89542,5.1,89542,4.9,17.1,10.7,48.1,88.2,2.8,0.3,7,0,1.7,3.1,85.5,67.8,8.3,9.3,95.5,47.7,4787,17.8,38103,55,37.2,162200,35196,2.34,25986,50516,20.9,2006,30774,3.6,5377,7365,0,0,2.1,0,0,23.6,1970829,432009,968345,11361,151011,539,572.82,156.3,8983971.5,12124
"149","Strafford County",33017,"NH",125604,123146,2,123143,5,19.5,13.8,51.3,93.4,1.2,0.3,3.2,0.1,1.9,2.2,91.7,80.5,4.6,7.3,91.6,31.8,10446,25.9,52403,65.6,30.5,220600,46968,2.47,29369,58825,10.5,2536,35159,-1.6,7643,10289,0.7,0,0,0,0.8,26.8,1185999,351111,1672899,13701,146812,416,368.98,333.7,11505326.4,46053
"150","Sullivan County",33019,"NH",43103,43742,-1.5,43742,4.7,19.7,18.9,50.6,96.7,0.7,0.4,0.7,0,1.5,1.5,95.5,86.5,2.6,3.4,90.1,25.6,4465,25,22344,74.1,19.4,171700,17808,2.4,28582,54463,9.9,937,11609,5.4,3272,4103,0,0,0,0,0,24.8,640776,0,562392,13154,32307,53,537.31,81.4,3883580.3,16488
"151","Sumter County",45085,"SC",107919,107463,0.4,107456,7.1,24.6,14.5,51.8,49.2,47.1,0.5,1.3,0.1,1.8,3.8,46.4,87.4,3.5,4.8,82.3,19.2,11981,21.9,47029,65.4,13.7,107300,39373,2.66,20340,41366,17.9,1777,29965,2.4,6023,7092,23.5,0.4,3.2,0,1.9,30.4,1921957,0,1021525,9801,109382,289,665.07,161.6,8881733.7,22430
"152","Tama County",19171,"IA",17451,17767,-1.8,17767,6,24.1,19.2,50.9,88.3,0.6,8,0.4,0.1,2.6,8.4,82.7,91.2,2.8,10.5,89.9,16.1,1496,21.6,7753,74.7,8.5,101300,6794,2.53,25311,51670,11.5,341,3564,-0.1,1130,0,0,0,0,0,0,0,0,154880,112481,6366,0,17,721.01,24.6,1568844.9,1882
"153","Taylor County",19173,"IA",6143,6317,-2.8,6317,6.3,23.1,21.1,49.3,98.2,0.4,0.3,0.3,0.1,0.8,7.5,91,89.9,3.4,8.1,90,13.8,511,21,3091,76.2,7.1,66400,2764,2.22,23793,43804,14.5,134,1594,1.9,556,722,0,0,0,0,0,0,0,40979,25098,3906,0,4,531.9,11.9,552870,578
"154","Union County",45087,"SC",27876,28963,-3.8,28961,5.4,21.8,18.5,52.5,66.2,31.7,0.3,0.3,0.1,1.5,1.2,65.4,88.8,0.7,1.7,78.1,12.9,2062,26.4,14015,73.1,7.8,74000,11854,2.37,19037,32556,20.1,449,5968,-1.9,1104,1681,17.7,0,0,0,0,31.1,488385,0,192164,6936,18534,14,514.17,56.3,2177115.6,6834
"155","Union County",19175,"IA",12516,12534,-0.1,12534,6.1,23.1,18.9,51.3,97.1,1,0.3,0.6,0,1,2.8,94.6,88.7,1,2,91.5,16.5,1014,15,5907,73.2,12,91600,5339,2.29,23007,44838,16.1,334,5025,-6.8,800,0,0,0,0,0,0,0,214327,384667,153754,12759,11160,7,423.65,29.6,1145214,6834
"156","Van Buren County",19177,"IA",7468,7570,-1.3,7570,6.7,23.3,20.8,49.2,98.1,0.3,0.2,0.5,0,0.9,1.3,96.9,89.4,0.8,5.2,87.2,14.4,668,23.4,3623,85.8,6.1,69700,3023,2.45,21368,43181,16.5,155,1859,-5.8,660,0,0,0,0,0,0,0,0,0,36920,4810,0,0,484.79,15.6,651209.6,730
"157","Wapello County",19179,"IA",35212,35625,-1.2,35625,6,22.4,17,50.6,94.4,2.2,0.8,0.9,0.2,1.3,10,85.4,84.9,6.8,10.5,84.6,16.2,2638,17.4,16019,72.8,14.4,78800,14534,2.38,22699,41425,19.1,758,14912,4.9,1763,2850,0,0,0,0,0,19.1,1840383,0,500711,14167,41514,22,431.83,82.5,2978935.2,3160
"158","Warren County",19181,"IA",47956,46228,3.7,46225,6,25.2,14.9,50.8,97.2,0.7,0.3,0.6,0.1,1.1,2.5,94.9,85.2,1.2,2.2,95.3,26.7,3826,24.8,19162,78.7,13.6,154100,17378,2.58,29088,62535,7.3,773,7742,-1.4,3431,4047,0,0,0,0,0,26,0,628117,328428,7415,25116,360,569.83,81.1,4570206.8,6006
"159","Washington County",19183,"IA",22070,21704,1.7,21704,6.6,24.8,18.5,50.8,96.9,0.9,0.3,0.5,0.1,1.2,5.6,91.7,88.1,2.7,8.7,89.5,20.8,1573,21.1,9540,75.7,14.2,121800,8948,2.4,26459,54554,9.8,705,6828,0.3,1780,2559,0,0,0,0,0,15.9,0,185719,195045,9221,114716,24,568.84,38.2,1975265,2443
"160","Washoe County",32031,"NV",440078,421427,4.4,421407,6,22.4,14.6,49.7,85.3,2.6,2.1,5.8,0.7,3.3,23.5,64.2,78.3,14.9,22.9,86.9,27.3,36058,21.5,187142,58,28.5,203300,163198,2.57,28670,53040,15.1,11477,167121,2.2,29629,40200,1,0.6,4.6,0,5.2,27.1,0,6317686,6667427,16409,2399394,2210,6302.37,66.9,38242778.2,17308
"161","Wayne County",19185,"IA",6395,6403,-0.1,6403,7,24.2,22.3,51.6,97.6,0.7,0.3,0.4,0,1,1.7,96.2,87.6,0.8,2.4,88.4,14.1,569,25.2,3181,82.7,6.9,62300,2589,2.42,22127,40024,12.4,146,1381,-0.1,523,483,0,0,0,0,0,0,0,27010,49159,7824,0,0,525.44,12.2,565318,619
"162","Webster County",19187,"IA",36955,38013,-2.8,38013,5.8,21.4,17.2,48.2,92.7,4.2,0.4,0.9,0,1.8,4.3,88.8,84,2.2,3.3,88.8,19.2,3109,15.4,17035,68.5,18.5,84300,15458,2.28,24203,41624,15.8,1032,15629,2.1,2082,2884,0,0,0,0,0,0,1909417,0,577547,15022,61910,20,715.62,53.1,3281604,3190
"163","White Pine County",32033,"NV",10034,10030,0,10030,6.3,21.5,15.1,42.7,86.8,4.8,4.7,1.1,0.2,2.5,14.9,73.5,83,2.4,5.9,86,13.8,1168,21.4,4436,70.9,6.8,113800,3357,2.74,24435,48586,12.9,185,2639,-7.5,500,893,0,0,0,0,0,0,0,0,88805,9748,22035,3,8875.65,1.1,862924,523
"164","Williamsburg County",45089,"SC",32695,34419,-5,34423,5.3,21.7,17.9,51.5,33.1,65.1,0.4,0.4,0,0.9,2.3,31.5,92.5,1.4,2.6,77.6,12.2,2053,28.6,15176,74.3,6.3,67100,11621,2.76,14845,25849,30.8,490,6578,0.9,1714,1921,36.5,0,0,0,0,30.7,1398099,102507,224573,6367,12820,17,934.16,36.8,2537132,7905
"165","Winnebago County",19189,"IA",10559,10866,-2.8,10866,5.2,21.4,20.4,51.4,96,1.4,0.3,1,0,1.3,3.9,92.5,88,3.2,6,91.9,18.6,835,16.3,5183,76.1,15.3,91900,4591,2.23,24547,45603,11.4,329,6152,8.3,794,1102,0,0,0,0,0,14.3,1094325,169959,114958,10672,6386,6,400.49,27.1,970372.1,1017
"166","Winneshiek County",19191,"IA",20768,21058,-1.4,21056,4.3,18.9,18.1,50.5,97,0.8,0.1,1.2,0,0.8,2.1,95.2,87,2.1,3.6,93.8,26.5,1485,16.2,8813,77.3,12.8,151500,8042,2.32,25062,53122,8.4,619,9585,-2.1,1859,2878,0,0,0,0,0,25.6,288679,167268,289636,13909,21459,47,689.87,30.5,1948038.4,2142
"167","Woodbury County",19193,"IA",102271,102177,0.1,102172,7.3,26,13.8,50.5,88.9,2.8,2.6,2.7,0.2,2.8,15.2,75.7,82.8,8.3,14.7,85.4,20.3,7107,17.7,41510,67.7,19.1,97900,38654,2.57,23269,45856,15.7,2692,45624,1.2,5654,7392,0.9,0,0.9,0,2,25.8,2827480,1739995,1511955,14913,158358,151,872.83,117.1,8733943.4,8655
"168","Worth County",19195,"IA",7624,7598,0.3,7598,5.1,21.7,19.8,50.2,97.3,0.9,0.3,0.5,0,1,2.7,95,91.6,1.1,2.7,92.5,16.3,706,20.1,3523,81.1,7.1,96900,3197,2.33,26187,50476,11.5,172,1790,-3.7,530,432,0,0,0,0,0,28.2,248922,0,28655,3759,4736,4,400.12,19,705220,774
"169","Wright County",19197,"IA",12840,13229,-2.9,13229,5.7,23.1,21.3,49.6,97.2,0.8,0.4,0.4,0.1,1.1,10.2,87.7,91.3,4.5,9,88.8,16,938,15.6,6494,77.4,14.4,71700,5367,2.4,25827,45205,11,390,3908,-8.2,868,1529,0,0,0,0,0,20.1,863324,291061,100154,7681,7591,12,580.42,22.8,1140192,1061
"170","York County",45091,"SC",245346,226071,8.5,226073,6.3,24.7,13.1,51.7,75.9,19.5,0.9,1.8,0.1,1.9,5,71.6,85.3,4.6,6.5,87.5,28.5,16892,25.1,98856,71.6,16.5,159300,86483,2.62,26553,53740,13.4,4548,68940,1.9,14944,16798,8.7,0,1.3,0,1.4,29.2,3621151,2150074,2172656,10315,285831,2982,680.6,332.2,21467775,51863
