"","area_name","fips","state_abbreviation","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","educatedpeople","votes"
"89","Jasper County",19099,"IA",36872,36842,0.1,36842,5.5,22.5,18,49,96,1.9,0.4,0.6,0,1,1.9,94.3,85.2,1.1,2.7,91.5,17.8,2818,22,16160,71.3,16.8,113100,14826,2.34,24905,50513,11.8,746,8706,4.7,2261,2847,0,0,0,0,0,20.9,170755,0,273960,7492,30110,33,730.42,50.4,3373788,9673
"90","Jasper County",45053,"SC",27170,24777,9.7,24777,6,21.4,15.4,48.4,53.1,44.1,0.7,0.8,0.1,1.2,13.9,41,82.2,9.1,12.8,78.8,12.5,1604,27.6,10890,71,9.8,90200,8563,2.86,17350,36413,23.7,560,5842,12.8,1451,1375,26.8,0,0,0,0,29.6,76412,145118,400765,18044,32368,229,655.32,37.8,2140996,9673
"91","Jefferson County",19101,"IA",17325,16843,2.9,16843,4.3,16.8,18.8,46.1,85.6,1.9,0.3,10.8,0.1,1.5,2.9,83.1,87.9,12,11.1,95,31.2,1561,14.7,7542,71.9,15.4,92400,6919,2.21,27593,48814,12.4,670,6855,0.2,1927,2308,0,0,0,0,0,0,246631,114630,333485,21471,16610,14,435.51,38.7,1645875,1747
"92","Johnson County",19103,"IA",142287,130882,8.7,130882,6.2,20.4,9.9,50.2,85.4,5.9,0.3,6,0,2.4,5.5,80.6,73.4,9.3,13.3,94.8,51.1,6630,18.2,58783,59.7,34.8,186000,54005,2.33,29592,53424,17.7,3186,59466,3.6,8843,9323,1.8,0,2.4,0,1.6,26.7,0,567646,1653057,13168,258762,1080,614.04,213.1,13488807.6,16422
"93","Jones County",19105,"IA",20454,20638,-0.9,20638,5.2,21.8,18.5,48.1,96.2,2.3,0.3,0.6,0,0.7,1.6,94.7,87.9,1,2.8,91.4,17.2,1948,24.3,8907,80.2,12.2,122100,8063,2.38,26762,55041,8.3,503,4877,0.5,1346,2193,0,0,0,0,0,29.9,180765,144654,257667,12629,9765,15,575.62,35.9,1869495.6,1933
"94","Keokuk County",19107,"IA",10231,10511,-2.7,10511,6.3,23.2,20.1,49.8,98.3,0.5,0.2,0.2,0,0.8,1.6,96.8,89.8,0.5,1.8,88.2,13.4,788,24,4886,80.6,8.3,75700,4354,2.36,22243,42167,13.2,250,1685,-10.1,705,1099,0,0,0,0,0,21.6,0,122304,66877,6236,0,0,579.18,18.1,902374.2,1100
"95","Kershaw County",45055,"SC",63161,61570,2.6,61697,5.9,23.6,16.4,51.5,72.1,25.2,0.4,0.7,0.1,1.6,4.2,68.7,86.1,2.9,4.6,84.9,19.3,5443,27.8,28012,76.1,5.9,116000,24084,2.55,22638,43765,16.7,1082,14796,-1.1,3895,4840,0,0,1.6,0,0,28,1419129,0,577695,9883,52193,262,726.56,84.9,5362368.9,15515
"96","Kossuth County",19109,"IA",15222,15543,-2.1,15543,5.5,21.9,22.5,49.8,97.7,0.6,0.3,0.5,0,0.8,2,96.1,90.5,1,2.4,92.2,18.3,1433,15.5,7481,80.5,10.7,91100,6728,2.25,29127,51812,8.7,571,5699,2.7,1401,1822,0,0,0,0,0,25.8,474756,318352,195827,12670,11502,19,972.72,16,1403468.4,1539
"97","Lancaster County",45057,"SC",83160,76652,8.5,76652,5.7,21.9,18.8,50.9,74.6,22.7,0.4,0.9,0.1,1.3,5,70.2,88.1,3.1,5.2,82.3,18.7,6294,27.5,34103,75,8,142200,28956,2.64,21003,42217,21,1230,16615,9.5,4893,5111,9.3,0,1.6,0,1.7,23.4,1247597,0,587872,7998,56293,1063,549.16,139.6,6844068,16922
"98","Lander County",32015,"NV",6009,5775,4.1,5775,8.1,26.8,13.2,49,90.4,0.9,5.6,0.9,0,2.1,23.9,69.5,81.2,11.2,19.6,81.1,12,530,28.1,2628,78.5,2.7,103300,2010,2.87,29800,72742,9.3,96,1499,-2,257,261,0,0,0,0,0,19.5,0,0,54981,10812,5362,7,5490.11,1.1,487329.9,482
"99","Laurens County",45059,"SC",66533,66539,0,66537,5.9,22.4,16.7,51.5,71.8,26,0.4,0.4,0.1,1.3,4.4,68.3,86.5,2.5,4.6,78.2,14.5,4965,24.6,30617,71.7,7,81800,25184,2.54,19153,37383,20.6,935,16339,-2.4,3148,3863,12.1,0,1.7,0,0,29.3,1562273,66953,370058,5315,53708,88,713.8,93.2,5202880.6,13389
"100","Lee County",45061,"SC",18343,19222,-4.6,19220,4.9,20.7,16.1,47.8,34.7,63.4,0.4,0.4,0,1,2.1,33.3,91.2,1.4,3.3,72.8,9.1,1131,28.9,7678,73.2,5.1,65000,6737,2.54,14740,27373,28,189,1769,-3.6,871,652,0,0,0,0,0,17,0,49595,154589,7684,10724,9,410.18,46.9,1335370.4,7075
"101","Lee County",19111,"IA",35286,35862,-1.6,35862,6.2,21.6,18.6,50.1,94,3.1,0.3,0.6,0,2,3.4,91,89.2,2,2.7,90,15.8,3552,17.9,16173,73.9,13.5,83100,14241,2.44,22649,42469,15.1,912,13010,-1.4,1914,2661,0,0,2.3,0,0,27.8,0,396254,420758,11745,36970,22,517.52,69.3,3175740,7075
"102","Lexington County",45063,"SC",277888,262396,5.9,262391,6.1,23.7,14.2,51.1,80.7,15.2,0.5,1.7,0.1,1.8,5.8,75.7,85.3,4.9,7,88.4,28.7,23090,25.2,118642,74.3,12,140100,103742,2.54,26886,54061,13.2,6168,92583,4.7,18292,22886,5.5,0.4,1.9,0,1.5,24.1,3465738,3588391,3666090,15027,434490,1412,698.91,375.4,24565299.2,68935
"103","Lincoln County",32017,"NV",5184,5345,-3,5345,4,22.7,19.8,46,91.9,3.5,1.4,0.8,0.3,2.2,7.7,85,88.7,3,2.9,82.7,16.3,591,28.6,2730,62.9,9.3,140600,1969,2.51,22879,40143,17.3,87,611,-8,280,409,0,0,0,0,0,32.3,0,0,31053,6970,0,12,10633.2,0.5,428716.8,348
"104","Linn County",19113,"IA",217751,211226,3.1,211226,6.3,23.8,14.3,50.6,90.6,4.5,0.3,2.2,0.1,2.4,2.9,88.1,84.1,2.9,4.7,93.8,31.2,16870,18.5,94663,73,24.3,144300,86052,2.42,29943,57260,9.7,5415,115744,0.9,12912,16967,0.7,0,0,0,0.6,27.1,8229178,2506126,3592845,17502,353610,838,716.88,294.6,20425043.8,23718
"105","Louisa County",19115,"IA",11161,11387,-2,11387,5.3,23.2,16.6,49.3,95.1,1,0.5,2.1,0.2,1.2,16.2,79.8,90.3,8.1,15,83.3,13.5,815,23,5006,78.6,7.3,95400,4381,2.56,24272,50583,12.2,217,2887,1.3,621,941,0,0,0,0,0,0,0,0,56465,4798,4530,9,401.77,28.3,929711.3,1124
"106","Lucas County",19117,"IA",8701,8898,-2.2,8898,5.6,23.3,21,49.6,98.5,0.3,0.2,0.3,0,0.7,1.3,97.3,86,5.8,10.2,89.9,11.3,656,24.1,4204,77.5,9.1,82700,3734,2.32,21126,43288,17,179,2772,0.5,622,788,0,0,0,0,0,0,0,1472,84344,8919,0,3,430.59,20.7,782219.9,888
"107","Lyon County",32019,"NV",51789,51980,-0.4,51980,5.3,22.4,19.7,49.4,90.1,1.3,3.2,1.7,0.3,3.4,15.8,76.3,81.3,7.2,12.9,84.3,16.7,6101,30.8,22399,70.3,8.1,133400,19278,2.65,21757,46137,15,771,10812,23.5,2522,3857,1.6,0,0,0,7.6,29.1,573568,0,371385,7100,35040,140,2001.19,26,4365812.7,4365
